#     FILENAME=Skynet_58800_messier_31_43924_53537.A.onoff.cal.txt
#     BASENAME=Skynet_58800_messier_31_43924_53537
#      CONTROL=SKYNET
#     PROJCODE=Skynet_58800_messier_31_43924
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#     SRC_NAME=messier_31
#     OBSERVER=haverford2_26746
#     DATE_OBS=2019-11-13T01:37:46.860
#        OBSID=43924
#      SCANNUM=53537
#     SCANNAME=2019_11_10_20:25:25
#          MJD=58800.0679035
#          UTC=05867
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8800,
# Actual_FREQ2=1390.6300
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.9999
#         TBIN=0.00419430
#     DURATION=444.00
#     EXPOSURE=401.98
#        FOCUS=36.851
#       RA,DEC=00:42:59.56, 41:16:07.48
#      RA(deg)=12.66557
#     DEC(deg)=41.26871
#   WIDTH(deg)=3.0161x0.0044
#    AZIM(deg)=70.6292
#    ELEV(deg)=77.6697
#     COORDREF=RA_DEC_
#         HREF=10.6846
#         VREF=41.2687
#     IFattens=5.00, 0.00
#   BALANCELEV=1.2 
#       ACCLEN=2048 
#      WARNING=None 
#         TSYS=XX1:57.29, YY1:29.15
#         TSYS=XX2:59.42, YY2:38.63
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.14, YY2:9.87
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1425.63366       0.1536      -0.0431    1394.38366       0.3150      -0.0382
   1425.61840       0.1099      -0.0161    1394.36840       0.3749       0.0064
   1425.60314       0.1612      -0.0065    1394.35314       0.2413      -0.0262
   1425.58789       0.1699      -0.0370    1394.33789       0.3203      -0.0943
   1425.57263       0.2691      -0.0577    1394.32263       0.2814      -0.0307
   1425.55737       0.1887      -0.0327    1394.30737       0.3511      -0.0286
   1425.54211       0.1516      -0.0411    1394.29211       0.4180      -0.0226
   1425.52685       0.1515      -0.0033    1394.27685       0.3873      -0.0600
   1425.51159       0.2076      -0.0198    1394.26159       0.3652      -0.0342
   1425.49633       0.1575      -0.0396    1394.24633       0.3749      -0.0185
   1425.48107       0.2041      -0.0042    1394.23107       0.3583      -0.0436
   1425.46582       0.0880      -0.0327    1394.21582       0.3246      -0.1315
   1425.45056       0.2234      -0.0593    1394.20056       0.3988      -0.0534
   1425.43530       0.0443      -0.0189    1394.18530       0.4128      -0.0564
   1425.42004       0.1597      -0.0420    1394.17004       0.3935      -0.0434
   1425.40478       0.1831      -0.0476    1394.15478       0.2964      -0.0989
   1425.38952       0.0786      -0.0199    1394.13952       0.3977      -0.0329
   1425.37426       0.1310      -0.0522    1394.12426       0.3459      -0.0853
   1425.35900       0.1502      -0.0147    1394.10900       0.3399      -0.0272
   1425.34375       0.1836      -0.0122    1394.09375       0.2669      -0.0461
   1425.32849       0.1517      -0.0372    1394.07849       0.2969      -0.0930
   1425.31323       0.0824      -0.0448    1394.06323       0.3474      -0.0361
   1425.29797       0.1511      -0.0212    1394.04797       0.3571      -0.0368
   1425.28271       0.1351      -0.0449    1394.03271       0.3634      -0.0651
   1425.26745       0.1630      -0.0560    1394.01745       0.4356      -0.0330
   1425.25219       0.1201      -0.0514    1394.00219       0.4146      -0.0231
   1425.23693       0.2173      -0.0180    1393.98693       0.3666      -0.1041
   1425.22167       0.1280      -0.0403    1393.97167       0.3607      -0.0651
   1425.20642       0.1279      -0.0636    1393.95642       0.3762       0.0413
   1425.19116       0.1630      -0.0355    1393.94116       0.2515      -0.0230
   1425.17590       0.1370      -0.0427    1393.92590       0.2233      -0.0534
   1425.16064       0.1646      -0.0528    1393.91064       0.2764      -0.0264
   1425.14538       0.0754       0.0004    1393.89538       0.4035      -0.0508
   1425.13012       0.0858      -0.0253    1393.88012       0.3686      -0.0518
   1425.11486       0.0809      -0.0430    1393.86486       0.3865      -0.0628
